,precipitation,precipitation,precipitation
,min,max,mean
day_of_year,,,
1,0.53216356,3.2038128,1.88761329125
2,0.6290806,3.805251,1.749999235
3,0.5642595,4.5243917,1.9447645875
4,0.50885105,2.865971,1.669595906875
5,1.026686,3.2111435,2.09094085
6,0.66834384,4.1273427,2.37833544375
7,1.1646365,3.7318919,2.247256325
8,0.83241826,5.1943192,2.18366105375
9,0.7065773,4.6440053,2.07848385
10,1.0216477,4.5945063,2.031183175
11,1.5262012,4.5109468,2.604209875
12,0.750998,3.6954267,2.0078790875
13,0.40606597,3.0924664,2.008273754375
14,0.79173255,4.0958776,2.332783315625
15,0.7325073,3.1740162,1.837385375
16,0.45918941,3.329836,1.75574449875
17,0.85288763,3.5997932,1.897599351875
18,0.9622274,3.866512,2.2119475625
19,1.0045725,7.882597,2.51080053125
20,0.83152527,5.4605107,2.11449792875
21,0.5426718,4.738341,2.0456754875
22,0.5528275,6.2144012,2.407035875
23,0.82835984,7.2779675,2.29636737125
24,0.42015943,3.3809514,2.04063006625
25,0.6769118,3.8512971,1.9404450125
26,0.5136383,4.7385526,2.140490234375
27,0.93208134,4.223624,2.128718165
28,0.23183712,2.6376014,1.8101025018749999
29,0.67114866,3.0134583,1.85991504125
30,0.65009737,3.9547343,2.146451529375
31,0.5334741,4.7371745,2.06765918125
32,0.48529005,5.6273465,2.347868128125
33,0.5374124,2.5788643,1.6659027
34,0.5706669,3.5881798,1.7984431025
35,0.58520705,3.1127746,1.7897839312500001
36,0.56955224,3.7394216,1.89943815875
37,0.783761,3.9544802,1.88482725
38,0.44440195,3.6195045,2.302623771875
39,1.2788537,3.8789377,2.42017025
40,0.6953837,4.0357285,1.86759944375
41,0.33603543,4.785509,1.8748669175
42,0.25886595,4.390788,1.84659432
43,0.87126404,3.7530022,1.9209659806250001
44,0.6904429,3.6338534,2.006879171875
45,0.6352775,1.9867713,1.5033584625
46,0.48202264,4.6374483,1.85571913375
47,0.6269131,4.2200365,1.79216201625
48,0.98168266,4.286036,1.9085992475
49,1.0739771,3.3502808,1.99477605625
50,0.8164407,3.4754283,2.00990533125
51,0.3809657,3.9744973,1.9571156875
52,0.539254,5.342635,2.048466898125
53,0.80585426,4.3858104,2.22391417875
54,0.47860366,3.5266528,2.116053135
55,0.52529305,3.6256168,1.985537225625
56,1.4282272,4.187806,2.5989611
57,1.138193,10.135773,2.96097984375
58,0.94483376,7.2035847,2.7573625475
59,1.0135692,6.9123917,2.91882601875
60,0.63967043,6.6777787,2.773098276875
61,0.7733257,4.35108,2.493581875
62,0.6995961,7.861913,2.69539314125
63,0.8527075,8.350383,2.52114940625
64,0.9020936,4.300625,2.26702150625
65,0.6773679,6.459627,2.56431345
66,1.2268646,5.6457534,2.56381074375
67,0.49899215,5.9911685,2.739473159375
68,1.0278071,5.8901014,2.5150626625
69,0.64971447,4.6388383,2.49303558125
70,1.0450809,4.665112,2.30889189375
71,0.97771335,5.583103,2.457680180625
72,1.0410486,5.3539443,2.55466124375
73,1.0730964,4.818624,2.46627808125
74,1.1112889,5.0438375,2.6047035750000003
75,0.79940635,6.08761,2.522163778125
76,0.88898265,4.2631507,2.132102615625
77,1.0610925,5.760714,2.69599158125
78,1.163254,5.151449,2.52691503125
79,0.80025,5.0475063,2.57542554
80,1.4457928,4.412752,2.6179618
81,0.90568113,5.295098,2.605818670625
82,0.81616443,4.457878,2.724004670625
83,0.7576964,5.246033,2.97319209375
84,1.3596755,4.924319,3.03834409375
85,0.9683956,6.518808,2.7891167
86,1.166982,6.146747,2.9245968
87,1.1736525,5.853761,3.03314725625
88,0.6474805,5.528611,2.7364168625
89,1.4687107,5.087937,2.859877825
90,0.7307666,5.8195868,2.91452131875
91,0.7524858,5.930479,3.15716245625
92,0.34497795,7.01689,2.706381378125
93,0.66152257,6.5309215,3.066451304375
94,1.2553582,7.3737006,3.52038636875
95,1.3421026,7.3164806,3.8168943375
96,1.1579838,8.298002,3.5096737625
97,0.7235495,5.3380713,3.2864319625
98,1.0845212,6.4404736,3.09534575625
99,0.8031841,5.1400743,2.865526325
100,0.84731436,4.603704,2.7409654225
101,0.94595414,6.934443,3.40303845875
102,0.9656507,6.1707497,3.2531947937499996
103,1.3742052,8.848689,3.50185744375
104,1.9707066,10.659761,3.7941468
105,1.9766552,8.25622,4.00283158125
106,1.4473538,9.616703,3.6706605875
107,1.9721624,7.6595716,4.03823994375
108,1.6473879,6.1596045,3.4350904375
109,1.80544,6.3427672,3.61450195
110,2.101341,5.622534,3.4875920875000004
111,1.6509689,5.703965,3.15202913125
112,0.91224957,5.699858,3.259984479375
113,0.7535684,5.4796824,2.65801464375
114,1.719661,5.544715,2.6071695875
115,1.4337051,5.348036,2.99725259375
116,1.3878747,6.984928,3.48802874375
117,1.8510994,7.454154,4.1357239
118,0.6980615,8.588169,4.2035103375
119,0.6297923,7.3250985,4.03514534375
120,1.7366258,6.1997814,3.9535015
121,1.4109448,7.2550907,4.2791856875
122,1.4357855,6.754676,4.3505183125
123,1.6354584,6.885394,3.775249475
124,0.95583314,8.372308,3.57142712125
125,1.2901995,7.1134353,3.688350025
126,0.7116276,6.409844,3.58095120625
127,0.63762385,7.237727,2.883193359375
128,1.146899,8.340462,3.21227819375
129,1.1126114,6.8001995,3.02881620625
130,0.80612385,4.709727,2.844073665625
131,0.7185359,5.922724,3.04523503125
132,0.7934722,5.570764,2.98536678125
133,0.710595,5.3615146,2.7621237875
134,0.7753415,8.80199,2.923506215625
135,0.8996574,5.8679767,2.4552490275
136,0.54511166,7.0346413,2.84671999125
137,0.56208026,7.8869405,2.962145735
138,0.9292677,4.7579794,2.780388625
139,0.19613682,8.757001,2.3870360012500003
140,0.6532872,5.494474,2.1586178475
141,0.78128755,5.22769,2.376396893125
142,0.76639795,5.5053616,2.4635374531250003
143,0.37099186,7.5307674,2.67348581
144,0.49429595,4.2412987,2.2238807
145,0.5595209,7.4074636,2.565240425
146,1.1209264,6.8618336,2.67816326875
147,0.433579,5.722575,2.4739669375
148,0.71872133,6.240621,2.1723391875
149,0.7741538,5.029774,2.04080213125
150,0.6045455,4.9581656,2.2966810562499997
151,0.65437734,8.962967,2.230205170625
152,0.789131,3.973212,2.098768975
153,0.46601126,3.8195567,1.776179129375
154,0.35184795,3.5261295,1.673584471875
155,0.6429539,2.931248,1.47988431
156,0.30718544,3.2543411,1.65137231
157,0.68616617,2.8114057,1.727201304375
158,0.76663667,3.903609,1.518567434375
159,0.60759985,3.859859,1.633761611875
160,0.48274985,2.8430884,1.519382175
161,0.887604,3.9333355,2.0412127937499998
162,0.566306,3.2007256,1.7417200125
163,0.917938,6.0464864,1.9793192375
164,0.528275,6.351661,1.811873121875
165,0.43139675,3.3897018,1.368301884375
166,0.65343297,3.8138616,1.615460665
167,0.5122312,5.51325,1.6796472100000002
168,0.86895865,2.4429078,1.855777090625
169,0.8156496,5.161279,2.16805476875
170,1.0305281,3.037381,1.81203820625
171,1.1431668,3.1745453,1.91769661875
172,0.85223997,2.8056068,1.6370594575
173,0.46655005,2.9276874,1.8234485675
174,0.6281256,3.3523927,1.7592055625
175,0.720913,3.7569714,1.671284190625
176,0.8090975,3.4137843,1.651534375
177,0.7178974,2.8214195,1.61303504375
178,0.74728626,3.6351964,1.87147727875
179,0.9361991,3.191981,1.7590578125
180,0.78842753,3.452212,1.732923533125
181,0.89190674,3.865702,1.62096753125
182,0.6599936,2.2603652,1.406968765625
183,0.48691255,2.8291528,1.616906593125
184,0.86388224,3.461558,2.07656903375
185,1.0985794,3.884048,2.16784136875
186,0.69373804,2.4717422,1.598266315
187,0.70306903,3.6498117,1.746989311875
188,0.6016677,4.857406,2.11912853125
189,0.7074192,3.8958569,1.96602655875
190,0.91719663,2.6389956,1.626248080625
191,0.75669277,4.1241264,1.71762550625
192,0.92118615,4.174475,2.070314003125
193,0.9421594,4.556917,2.06488461875
194,1.2490066,4.8796067,2.20840433125
195,0.63655573,7.194897,1.978591658125
196,0.78630733,2.6128545,1.893738751875
197,1.020203,3.5528514,2.0396184
198,0.8399065,2.986354,1.9318392125
199,0.921553,3.4405737,2.1073476375
200,0.55330485,2.767118,1.914528335
201,0.4414926,4.1295667,1.74895444125
202,1.0006585,3.3054874,2.1311929750000003
203,1.0104908,2.5656865,1.738223475
204,0.7564479,3.637178,1.9795900375
205,1.7061275,3.5898519,2.61917480625
206,1.1341387,4.0393624,2.30044031875
207,0.98112327,2.784981,1.7570747606250001
208,1.2244791,3.2142072,1.88647810625
209,1.1591967,3.8147223,2.4048349625
210,0.8095888,5.2528543,2.34310141875
211,0.8614124,4.1356244,2.344302875
212,0.9854966,3.7926183,2.25885175
213,1.230263,3.9863546,1.83864503125
214,1.2152424,4.348034,2.1637569125000002
215,1.5199136,3.255279,2.37774764375
216,0.6919333,3.9292996,2.2273949125
217,0.88325584,3.12308,2.14119214
218,1.0998414,3.3270698,2.35402985
219,1.1397185,3.8725624,2.47715128125
220,1.2363338,3.0573978,2.27522795
221,1.490223,4.2655635,2.246564575
222,1.510701,3.4422066,2.2543387625
223,0.95875186,4.272608,2.17738161625
224,0.7204458,3.3623312,2.337329925
225,1.228828,2.9795125,2.24672219375
226,1.1554595,4.1146646,2.164511075
227,1.4724228,3.39243,2.34650825
228,1.4295814,4.054649,2.622847225
229,1.3044957,5.553415,2.48179466875
230,1.3270817,3.021899,2.06235678125
231,1.2780805,3.804995,2.31538956875
232,1.5394454,3.1981583,2.350031275
233,1.1426466,2.831149,2.109242275
234,0.9067458,3.5948715,2.3239310125
235,0.89592564,3.847931,2.05937989625
236,1.3730615,3.0287528,2.26075219375
237,1.8798636,4.4042573,2.88549445
238,0.95832795,4.9174037,2.562744953125
239,1.0685024,4.1494627,2.1574201125
240,1.2645615,4.4939528,2.422165775
241,0.99043286,4.0108466,2.332319685
242,1.2938957,3.2875404,2.10341855
243,1.093309,3.547017,2.163234875
244,1.0010954,4.185336,2.3474428375
245,1.0422429,3.4411829,2.21157114375
246,0.9140549,4.048517,2.38116284375
247,1.189204,3.5760143,2.1076733
248,0.9031739,4.734474,2.4083698375
249,0.80225325,3.5091019,2.0845741218750002
250,1.1394677,2.6892402,1.97398925
251,1.0930185,3.0204773,2.18516559375
252,0.92399174,2.448436,1.8558763150000002
253,0.9268525,2.9136446,1.84645671875
254,0.8679028,3.8844452,2.01067171875
255,1.0711696,3.4090407,2.0938791875
256,1.0308728,3.2718782,2.00915151875
257,1.4643159,4.1767883,2.36158870625
258,1.2525921,3.0294385,2.0378075625
259,1.1543976,2.9864864,1.8196534875
260,1.0868663,4.1772337,2.229685025
261,0.83761716,3.369469,1.93129499125
262,0.8622825,3.0476074,1.773153215625
263,0.7777876,3.1041293,1.8277364875
264,1.3974124,3.52146,2.3665468125
265,0.90047085,3.4932926,1.6224525325
266,0.7289853,3.422607,1.64631413125
267,0.75559247,3.26734,1.738513160625
268,0.9291331,3.6777496,1.744427935
269,1.0082366,3.041138,1.93322635
270,0.8998604,4.14709,1.92031495
271,0.47022623,3.258435,1.891658689375
272,1.0673703,3.3505964,2.064100025
273,1.0969187,4.0581107,2.163331475
274,0.85643667,3.3548307,1.925294579375
275,0.4487594,2.5650918,1.730215471875
276,0.69246334,3.4230685,1.81021645875
277,1.0334094,3.7778633,1.739002725
278,0.5979725,4.5678015,1.916714834375
279,0.96094024,4.2880993,2.06531874
280,0.78026485,4.7187476,1.821510334375
281,0.5565273,3.815794,1.7885319375
282,0.86879265,3.10478,2.003853059375
283,1.0296578,3.9080472,2.17171358125
284,0.7997986,3.2652178,1.980940383125
285,0.7782258,4.2968345,2.14460461875
286,0.7690132,5.009656,2.19237295625
287,0.97254884,5.1288896,2.39804399625
288,1.064959,3.0802398,2.006521675
289,0.7715605,3.1682518,2.04422400625
290,1.1328931,2.892982,2.0365524125
291,0.831964,4.1218896,2.239249
292,1.0776033,4.2468476,2.4591026375
293,1.4882252,4.380597,2.224702875
294,1.2397925,3.7477746,2.09016950625
295,1.4915813,5.0652432,2.56342229375
296,1.1011475,3.9828084,2.52583038125
297,1.1295593,5.744329,2.64894669375
298,1.0620979,4.876939,2.2461612250000003
299,0.8625635,3.970823,2.31661843125
300,0.6758503,6.65278,2.81539251875
301,1.0120752,6.6985745,2.99576571875
302,0.91897434,5.0086684,2.647978315
303,0.76396286,3.8409507,1.9348874225
304,0.7353666,4.987288,2.1676721725
305,1.150647,6.100779,2.5182488687499998
306,1.1587138,4.9145837,2.64044225625
307,1.3574661,4.709121,2.7001792
308,0.5769472,6.017817,2.9375852
309,0.71033436,6.1197386,2.84095086
310,0.915308,5.79906,2.6633323875
311,1.1355695,5.533049,2.6991962625
312,1.449498,4.7762527,2.5585104687499998
313,0.8764908,5.4841304,2.58639469375
314,0.8540275,4.075406,2.39214738125
315,0.72911537,3.6266742,2.1491764125
316,0.6994267,4.229987,2.018365846875
317,0.62226766,4.0152574,2.016741035
318,0.8242293,3.8875282,2.03102754375
319,0.67414844,5.194125,2.2832241425
320,0.61835694,4.728909,2.29048108375
321,0.57245934,5.543194,2.3920477025
322,0.8637571,5.2142153,2.148029136875
323,1.3527066,4.492217,2.33781489375
324,0.92769855,5.8710856,2.293580761875
325,1.0286092,4.59101,2.161683325
326,1.0227447,5.4665575,2.15591131875
327,1.0471878,5.730038,2.38414853125
328,0.76097715,4.6857176,2.239142990625
329,0.611473,7.0663753,2.304866690625
330,0.8739364,4.5633974,2.337173825
331,0.48056987,6.6322694,2.166060716875
332,1.0221534,4.865691,2.258444325
333,1.0141177,8.997674,2.60497681875
334,0.9808862,5.676228,2.1792755812499998
335,1.0680268,3.7296312,2.0665938062499998
336,0.81451523,5.218816,2.228407945625
337,0.91545355,3.4558601,2.218767453125
338,0.47127467,3.1099012,2.155531948125
339,1.0031538,4.991845,2.26136388125
340,1.2333843,4.4375076,2.39708063125
341,1.3115697,4.263191,2.5827673187499998
342,0.49841607,4.492076,2.774766510625
343,0.7709089,4.241135,2.42803044375
344,1.6801236,4.548055,2.616307725
345,0.87574923,4.2710276,2.572087964375
346,0.98055613,3.8954406,2.456639908125
347,0.44489017,5.1321144,2.342996660625
348,0.46279982,3.962024,2.298238945
349,0.5075093,4.985453,2.25680033125
350,0.2414988,5.0189033,2.056872275
351,0.28627682,4.8426414,2.13098371375
352,0.5928055,4.011462,2.040532595625
353,0.56607497,4.892819,2.0828060543749998
354,0.9400394,4.995726,2.2834321625
355,0.70594287,7.586835,2.619957879375
356,0.52758294,6.6225505,2.56945783375
357,0.8886152,8.580999,2.74985474375
358,0.4676403,5.6353545,2.399605975
359,0.9659171,4.230678,2.243579195625
360,0.7599611,4.3652515,2.40186532875
361,0.98875886,5.2463083,2.47256377875
362,0.8989972,4.831502,2.2354394812500002
363,0.67091787,7.607381,2.530205685625
364,1.0692788,5.8508563,2.34839331875
365,1.3428311,3.9324532,2.22657795625
366,1.4267522,3.0278804,2.1755533
