year,T,pr,p
1950,9.573854510585466,2.062135274062554,1015.2244756062825
1951,9.457161312699318,2.4642681069672108,1013.1706961059571
1952,9.287868616580964,1.8121186767021815,1016.1651127115887
1953,9.822510873277981,1.3700283294419446,1020.0225934346518
1954,9.380568106174469,1.950961221096416,1015.6791959126791
1955,9.407072909772397,1.4926654891359308,1015.1560609436036
1956,8.900339940090973,1.5771441917121412,1016.9652547709146
1957,10.229191587964694,1.8486992250258725,1015.4656002298992
1958,9.657344016432765,2.185526032398144,1013.4533239746094
1959,10.5793969420592,1.670609877537936,1014.974509226481
1960,9.694100801944733,2.3525676757842304,1011.8750918070476
1961,9.986516070961953,1.716242801416665,1015.0513265482583
1962,8.378404823144278,1.5485904310146967,1016.4491066996258
1963,8.20914532194535,1.6353972676272195,1013.9872692871094
1964,9.369355789820355,1.1943313880761461,1017.0892171223959
1965,8.798157502015432,1.778046527231733,1013.4803492736818
1966,9.441433560252191,2.0456931458413603,1012.6600478108722
1967,9.655410549839338,1.8926527092854182,1015.0937613423665
1968,9.20490952372551,1.98044851899147,1014.6743949381508
1969,9.321406551549831,1.6157032126064104,1014.3512843322754
1970,9.62101197719574,1.711215823541085,1014.1212100219727
1971,9.57740889966488,1.8356555116176605,1016.8807067362468
1972,9.20072788576285,1.6044823668400445,1015.0570700581869
1973,9.453386939764025,1.3262777447203795,1018.5769434102376
1974,9.491983502705892,2.0990249958634375,1014.0204891967775
1975,9.91363361855348,1.4082344285150368,1017.8974380493164
1976,10.07627932359775,1.3759028861174982,1016.1224690246582
1977,9.397702064911524,1.9980588857829569,1014.1729847208658
1978,9.303895025253295,1.594761322072397,1014.1718137105307
1979,8.874312868664662,1.9626303137342134,1013.2353237915039
1980,9.407295772035916,1.7774643654624622,1015.1913562520346
1981,9.262754522797962,1.943653852492571,1014.8820955912273
1982,9.920476669371128,1.8301629163821536,1015.0817455037435
1983,10.132522891362507,1.5960299640645583,1016.1760276285808
1984,9.790034594138463,1.6598868073449315,1014.8600249735513
1985,8.870243294512234,1.820483579784632,1015.3217063903809
1986,8.78820295939843,1.8751050761093693,1015.2636855570476
1987,9.096094252572705,1.7069416327526172,1016.1615893554687
1988,9.71591250816981,1.613575474570195,1014.7425560506184
1989,10.693049958149592,1.6538131839782,1016.5734703572592
1990,10.739952634771667,1.3767362972597281,1015.7925304158526
1991,9.4898967769742,1.4761987390741707,1017.1720256042481
1992,9.92342031220595,2.0238334232568738,1016.4491298421223
1993,9.618127667109173,1.9165411230176688,1016.3770624287923
1994,10.45169659058253,1.8051966124276317,1014.2043802388508
1995,10.675239220062892,1.7747147252907352,1015.3541181437173
1996,9.326258957386017,1.3114272515227396,1015.244090270996
1997,10.732669514218964,1.5703630821158487,1016.064317220052
1998,10.527328081528346,2.032473833287756,1014.8390630086263
1999,10.707963403463365,1.9581796024988094,1013.9397703552246
2000,10.559734800656637,2.2614801377058034,1013.1261369832358
2001,10.204994816184044,1.8579184804360074,1014.9682491556802
2002,10.930887042284011,2.1337358783185483,1013.6619269307454
2003,10.729536548455556,1.4238649367168545,1016.6271426391601
2004,10.844258231321971,1.9358841649194556,1015.5479091898601
2005,10.869211088021595,1.3265300635496775,1017.2561881001792
2006,11.314836891094844,1.8440013851970436,1015.2973444112143
2007,10.875882211526237,2.0879220292748264,1016.4198538208008
2008,10.394800232052804,2.089559773902099,1014.1005515034994
2009,10.67462616523107,1.6903499869753917,1013.5716129048665
2010,9.519241050990919,1.4260693916181724,1013.9971332295736
2011,11.22048120379448,1.260314466028164,1015.916253712972
2012,10.30797108968099,2.490678194736441,1014.8834466044108
2013,9.975247419079144,1.816952276726564,1015.137588450114
2014,11.376336028973261,2.2494036132345596,1012.1348677571614
2015,10.892896627982458,1.5668309137225152,1016.8736232503255
2016,10.75903791705767,1.7179104307045538,1015.6870848592124
2017,11.038440181612968,1.639935460413496,1016.0897654724121
2018,11.130822025934854,1.5911452544402949,1014.7421088155112
2019,10.852183268864948,1.980331015139818,1013.8773886108401
2020,11.304238477547964,2.197457915662477,1014.2933854675293
2021,10.700698962410291,1.774893061940869,1016.1045678202313
2022,11.708417112628618,1.4862594032660128,1016.4651714579264
2023,11.439772293965023,2.337421381485959,1014.0373444620768
